,Hail
1980-04-14 12:00:00,TRUE
1980-04-21 00:00:00,TRUE
1980-11-12 00:00:00,TRUE
1981-03-14 00:00:00,TRUE
1981-12-04 12:00:00,TRUE
1982-04-22 00:00:00,TRUE
1982-04-24 00:00:00,TRUE
1982-04-24 00:00:00,TRUE
1982-08-26 00:00:00,TRUE
1983-03-21 12:00:00,TRUE
1983-04-16 00:00:00,TRUE
1984-08-22 00:00:00,TRUE
1984-11-12 12:00:00,TRUE
1985-04-28 00:00:00,TRUE
1985-05-13 12:00:00,TRUE
1986-05-01 12:00:00,TRUE
1988-01-31 12:00:00,TRUE
1988-03-02 00:00:00,TRUE
1988-05-24 00:00:00,TRUE
1990-02-12 00:00:00,TRUE
1991-05-01 12:00:00,TRUE
1992-03-30 00:00:00,TRUE
1992-03-30 12:00:00,TRUE
1992-04-12 00:00:00,TRUE
1993-02-24 00:00:00,TRUE
1993-03-20 00:00:00,TRUE
1993-04-18 12:00:00,TRUE
1996-02-17 12:00:00,TRUE
1997-05-11 12:00:00,TRUE
2001-05-08 00:00:00,TRUE
2001-05-08 12:00:00,TRUE
2001-09-27 12:00:00,TRUE
2002-03-25 00:00:00,TRUE
2002-03-26 12:00:00,TRUE
2002-05-22 00:00:00,TRUE
2003-04-05 12:00:00,TRUE
2003-05-25 00:00:00,TRUE
2004-04-18 12:00:00,TRUE
2004-06-23 12:00:00,TRUE
2004-08-16 12:00:00,TRUE
2005-03-29 12:00:00,TRUE
2005-04-22 12:00:00,TRUE
2005-05-20 12:00:00,TRUE
2005-05-21 12:00:00,TRUE
2007-04-16 12:00:00,TRUE
2007-06-03 12:00:00,TRUE
2008-05-15 00:00:00,TRUE
2008-06-01 12:00:00,TRUE
2009-03-26 12:00:00,TRUE
2009-04-22 12:00:00,TRUE
2009-05-20 12:00:00,TRUE
2009-06-13 00:00:00,TRUE
2009-07-12 00:00:00,TRUE
2010-02-18 12:00:00,TRUE
2010-03-09 12:00:00,TRUE
2010-03-09 12:00:00,TRUE
2010-06-06 12:00:00,TRUE
2010-07-08 12:00:00,TRUE
2011-04-04 12:00:00,TRUE
2011-04-06 12:00:00,TRUE
2011-04-10 00:00:00,TRUE
2011-05-11 12:00:00,TRUE
2011-05-30 12:00:00,TRUE
2011-08-02 12:00:00,TRUE
2011-10-11 12:00:00,TRUE
2011-10-12 12:00:00,TRUE
2012-05-18 12:00:00,TRUE
2012-05-28 00:00:00,TRUE
2014-04-12 12:00:00,TRUE
2014-05-30 12:00:00,TRUE
2014-06-05 12:00:00,TRUE
2015-05-25 12:00:00,TRUE
2015-06-19 12:00:00,TRUE
2015-08-22 12:00:00,TRUE
2016-04-26 12:00:00,TRUE
2016-05-18 12:00:00,TRUE
2017-03-02 12:00:00,TRUE
2018-05-27 12:00:00,TRUE
2018-05-28 12:00:00,TRUE
2018-05-29 12:00:00,TRUE
2019-05-24 12:00:00,TRUE
